fold,test_group,accuracy,macro_precision,macro_recall,macro_f1
1,p10,0.7951807228915663,0.7412186379928315,0.7040094339622641,0.6968061423833537
2,p11,0.6973684210526315,0.4961685823754789,0.6291666666666667,0.5526210484193678
3,p12,0.8157894736842105,0.8602033405954974,0.8680555555555555,0.8397523623330075
4,p13,0.46511627906976744,0.342741935483871,0.47237076648841353,0.39100241545893716
5,p14,0.7558139534883721,0.7743496672716272,0.7588383838383838,0.7629296612269462
6,p15,0.8205128205128205,0.8696969696969697,0.8247630570679573,0.8317035621383448
7,p16,0.5897435897435898,0.7503267973856209,0.5792949740318162,0.5798792402565986
8,p17,0.6547619047619048,0.695125494896662,0.6594826242792582,0.6581803542673108
9,p18,0.5952380952380952,0.6333333333333333,0.5985132433783108,0.5632630516351447
10,p19,0.5189873417721519,0.5433155080213904,0.6026143790849673,0.5217760518512398
11,p20,0.7341772151898734,0.8049382716049384,0.7366946778711485,0.7515933450825214
12,p21,0.8169014084507042,0.8077777777777778,0.8065870910698497,0.8069956796277834
13,p22,0.6197183098591549,0.7993197278911565,0.6875,0.6351851851851852
14,p23,0.6829268292682927,0.6847734254992318,0.6847982436217731,0.683772755806654
15,p24,0.7317073170731707,0.7530203014073983,0.7241830065359478,0.7359030103609691
16,p3,0.32142857142857145,0.7285714285714286,0.611904761904762,0.4237024727261536
17,p4,0.7590361445783133,0.7879120879120879,0.7985632183908046,0.7920534189667915
18,p5,0.5697674418604651,0.6973775017253278,0.6745448179271708,0.6184840119622729
19,p6,0.6046511627906976,0.6875,0.6425925925925926,0.5878863826232247
20,p7,0.5945945945945946,0.4393939393939394,0.6666666666666666,0.4942528735632184
21,p8,0.5135135135135135,0.31616161616161614,0.5555555555555555,0.3972543972543973
22,p9,0.6867469879518072,0.7338935574229692,0.7192982456140351,0.7250777436624154
